,Text,label
0,“suspenden indefinidamente rueda de prensa del delincuente  Nicolás Petro porque se voló”,FAKE
1,"""Todos los campesinos mugrosos resentidos de Colombia son milicianos, igual la gente mugrosa resentida y pobre de las ciudades como en Aguablanca, Ciudad Bolivar, comunas de Medellín, esa gente inmunda que no acepta su miseria con dignidad debería desaparecer"".
-María F. Cabal.",FAKE
2,"¿Saben porque no se expanden los paneles solares en los tejados de las casa en Colombia teniendo mas sol que Australia?

Porque al tener contadores de entrada y salida de energía, las empresas de electricidad le cobran a los usuarios la energía que sale como energía reactiva",FAKE
3,"El mismo gobierno les avisa, desde la cuenta oficial del ministerio de salud, que con la reforma que piensan implementar quien lo va a atender es un yerbatero y no un médico.

No hay peor ciego que el que no quiere ver",FAKE
4,"Me está comentado una amiga que trabaja en Aduanas que llegó un cargamento de arroz y que no pasó las normas de Sanidad porque trae un virus que sólo se ve en Pakistán. El arroz es de allá y el árabe pago y sobornó para que le sacaran la mercancía y ya lo distribuyeron. El arroz se llama ""Dana"" y el empaque es azul y dice hecho en Pakistan. Que por favor no lo vayan a comprar esta muy contaminado 😱...  ¡Compartan esta información! con sus familiares y demás personas.
 Ése arroz lo venden las tiendas D1",FAKE
5,"Colombianos por favor, No caer en el nuevo engaño socialista !!! Gustavo Petro  insiste en una nueva Cédula de identidad. 
Sabes por qué? JN
Es importante que todo Colombia sepa que la empresa que está detrás de ""la nueva cédula de identidad Colombiana promovida por el presidente, es SmartMatic. 
Cuando usted registre sus datos biométricos usted estará dándole su huella digital a una empresa Venezolana especializada en fraudes eléctorales fundada por Hugo Chávez,  Fidel Castro y la Inteligencia Cubana actualmente con apoyo de China. 
A partir de ese punto, ellos podrán votar por usted, porque incluso tendrán su huella digital para comprobarlo, una vez hecho eso quedará establecida por muchos años una dictadura Socialista en Colombia y recuerde para ellos NO importa quien vote, sino quien cuenta los votos!",FAKE
6,"Éxito, Carulla y Surtimax son de un solo dueño. Olímpica y SAO son de los Char. D1 es de Santodomingo. Ellos están subiendo precios para hacer creer que el gobierno 
@petrogustavo  está empobreciendo y dejando morir de hambre a la gente. La derecha monopolizando!🤬",FAKE
7,"El próximo febrero es el último febrero que cualquiera que viva ahora verá jamás. Eso es porque el mes de febrero de este año tiene lo siguiente que sucede solo una vez en 823 años. Este febrero tiene: 4 domingos 4 lunes 4 martes 4 miércoles 4 jueves 4 viernes 4 sábados. Esto se llama MiracleIn. Luego envíalo a por lo menos 5 personas o 5 Grupos, y ocurrirá un milagro en 4 días. Basado en milagros bíblicos inexplicables. Envíelo dentro de los 11 minutos posteriores a la lectura.",FAKE
8,"La ADRES abultó una deuda de 9 billones de pesos a las EPS entre 2010 y 2019.
Esta misma entidad, con todas sus limitaciones y problemas, pasará a ser el pagador único con la Reforma a la Salud.",REAL
9,"En #Bogota hay un reactor nuclear que lo maneja el 
@sgcol
 una entidad gerenciada por socialistas.
Con que fines, nadie lo sabe, por que lo ocultan, que pretenden, esto no es broma, es para prender las alarmas ya que esta en manos de personas inescrupulosas 
@CNNEE",FAKE
10,Se supo que los de las batas son cubanos disfrazados de médicos que Francia trajo para reforzar la reforma y hacer este show.  Así de desgraciados #ColombiaALaCalle15F,FAKE
11,"En #Colombia los guerrilleros iniciaron con abusos a los policías y militares, el odio que Petro les tiene viene de estas épocas, los mantenían secuestrados y con torturas, necesitamos un o una presidente que recupere el honor y respeto a la ley y autoridades. No a la impunidad.",FAKE
12,"También tenemos espacio para hijos hermanos, políticos y guerrilleros corruptos castrochavistas",FAKE
13,"El Serpens Cattus o Gato Serpiente es nativo de Suramérica, específicamente de países como Colombia, Venezuela, Ecuador, Perú, Bolivia, Guyana, Guyana Francesa y Surinam, su hábitat son las zonas de más difícil acceso de la Selva Amazónica y es considerado como la especie de felino más rara de la Tierra, en el año 2020 salen a la luz las primeras imágenes de este felino, se estima que pueden llegar a pesar hasta 4 kilogramos y alcanzar unos 50 centímetros de longitud pero hay poca información sobre ellos porque están relativamente mal estudiados. Aunque este gato es virtualmente indomado, algunos pueblos indígenas del Amazonas, en especial las tribus nómadas, han logrado domesticar a unos cuantos para proteger sus hogares de serpientes, proteger a los bebés y espantar a los roedores que roban sus alimentos.",FAKE
14,"(El Pais) – Luis Carlos Sarmiento es un multimillonario colombiano y la segunda persona más rica de Colombia. Es accionista mayoritario y presidente del Conglomerado bancario Grupo Aval.También es famoso por no guardar secretos y hablar con franqueza sobre cómo gana su dinero.
La semana pasada, Sarmiento fue entrevistado en Noticias Caracol por la presentadora María Lucía Fernández y anunció una nueva ""laguna dorada"" que, según él, puede convertir a cualquiera en millonario en 3 o 4 meses. Animó a todos los colombianos a aprovechar esta increíble oportunidad antes de que los grandes bancos y las autoridades gubernamentales los prohibieran por completo.
Y efectivamente, minutos después de terminar la entrevista, el Banco Central de Colombia llamó para impedir la entrevista, pero ya era demasiado tarde.
Esto es exactamente lo que pasó:
La presentadora de Noticias Caracol, María Fernández, invitó al programa a Luis Carlos Sarmiento para compartir sus tips para aumentar las ganancias, y el empresario reveló un gran secreto.
""Lo que me hizo exitoso es aprovechar nuevas oportunidades rápidamente y tomar medidas rápidas sin dudarlo. Y en este momento, mi mayor generador de ganancias es un programa de comercio automático de criptomonedas llamado Bitcoin Code. Es la mejor oportunidad que he visto en mi vida. conseguir una pequeña fortuna rápidamente. Animo a todo el mundo a aprovecharlo antes de que los bancos pongan freno"".
María Fernández quedó atónita cuando Sarmiento sacó su teléfono y mostró a los televidentes cuánto dinero estaba ganando a través de este nuevo programa para generar dinero. Hubo un silencio incómodo en el estudio.",FAKE
15,"Dentro de quince días inicia la operación de semáforos inteligentes en las principales ciudades del país, vienen con cámara. ",FAKE
16,"Contrario a la narrativa de la oposción que coincide con la periodística, en el primer gobierno progresista del siglo se tiene la más alta inversión extranjera de la historia.

Hay que lograr que se ubique en enrgías limpias y ferrocarriles.",FAKE
